GlobalId,IfcClass,Name,Tag
1nnMo_AKzCgPoNKZdxVA98,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:720283,720283
3E$HCkw6f2dvZkvEJvb0FI,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:712081,712081
17i96Trk58HA$W1qzt0jru,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:636134,636134
0vNeZbf_jCjBvuG5o4ihTP,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:620561,620561
3S7CYugLb5EwvHuVha9Jem,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:708816,708816
0J3q8r36T0QQtYHes8eEF$,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:711587,711587
3S7CYugLb5EwvHuVha9Je1,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:708833,708833
0J3q8r36T0QQtYHes8eE2f,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710901,710901
3_T5bNv6XAJPJSfD_AzAgx,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:631535,631535
1g9OLuC_bCgfhiDAcxypBy,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:588608,588608
0mhQKcy9H4Vxb5L6DWn3er,IfcFlowFitting,M_Elbow - Generic:Standard:Standard:746797,746797
3WXsVyiXDCAPWj3vH36enP,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:589377,589377
3Xz4QBoKnDyhOmF73ZDgg1,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:727300,727300
1xQxjqdub1F9Zkcf7hNaXK,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:587401,587401
11fFDzf5T9R8MY5BgdZxbj,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:712521,712521
0U5Ew4sirE$O2S1s$sieE9,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:577175,577175
0Uk_0$329EPPWa7jxMy2J8,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:610474,610474
3_T5bNv6XAJPJSfD_AzAgd,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:631539,631539
1dCXlR8ejAR8SMGy_A9na1,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:591390,591390
3a2ZesuUv1LByxghdI8VqA,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:576936,576936
2qwqb_HL9EKO1kbOFaSgEk,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:577914,577914
0J3q8r36T0QQtYHes8eE2Y,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:710910,710910
3kD1gFmCrBdPaUKrQLRM5s,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:724358,724358
3PsgCtzZ18uBzRwpV9IJIm,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:726336,726336
15uZAUeUv0ShrxXNlJxa8a,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:639363,639363
0U5Ew4sirE$O2S1s$sifrA,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:577620,577620
0J3q8r36T0QQtYHes8eEEW,IfcFlowFitting,magicirc_reduction_001:magicirc_reduction_001:magicirc_reduction_001:711676,711676
32K4MmAXfD$9t1_ByHsQDw,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:595356,595356
1i8VmiVhTBJfZn39qjfOuT,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:613778,613778
0Uk_0$329EPPWa7jxMy2K6,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:610660,610660
1i8VmiVhTBJfZn39qjfO$S,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:613459,613459
1g9OLuC_bCgfhiDAcxyp7l,IfcFlowFitting,M_Round Transition - Angle:45 Degree:45 Degree:587859,587859
01tUihcqPE_8Wptph8g7VY,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:640962,640962
2K9v5OXDb8k8DU0QJkagbd,IfcFlowFitting,M_Rectangular Transition - Angle:45 Degree:45 Degree:623803,623803
1i8VmiVhTBJfZn39qjfOyJ,IfcFlowFitting,M_Rectangular to Round Transition - Angle:45 Degree:45 Degree:613532,613532
