ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
3_T5bNv6XAJPJSfD_AzAjn,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631589,Identity Data,Assembly Code,str
3_T5bNv6XAJPJSfD_AzAgh,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631551,Identity Data,Assembly Code,str
3S7CYugLb5EwvHuVha9Jex,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:708827,Identity Data,Assembly Code,str
1NAlaKy5fFXeFbPxNNJeDu,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603582,Identity Data,Assembly Code,str
1NAlaKy5fFXeFbPxNNJeDg,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603564,Identity Data,Assembly Code,str
3_T5bNv6XAJPJSfD_AzAj5,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631569,Identity Data,Assembly Code,str
0p0l5UL3z4bARmm2orwz2Y,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:635414,Identity Data,Assembly Code,str
1NAlaKy5fFXeFbPxNNJeDp,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:603573,Identity Data,Assembly Code,str
3_T5bNv6XAJPJSfD_AzAj8,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631580,Identity Data,Assembly Code,str
3_T5bNv6XAJPJSfD_AzAjZ,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631607,Identity Data,Assembly Code,str
3_T5bNv6XAJPJSfD_AzAjw,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:631598,Identity Data,Assembly Code,str
1nnMo_AKzCgPoNKZdxVAD0,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:720019,Identity Data,Assembly Description,str
0J3q8r36T0QQtYHes8eE2l,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:710899,Identity Data,Assembly Description,str
37ERv$vjXCjPUDTL4UUcHs,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630300,Identity Data,Assembly Description,str
3E$HCkw6f2dvZkvEJvb0FE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:712077,Identity Data,Assembly Description,str
