ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
0kF45Qs8L9PAM9kmb1lT2Z,IfcFooting,Wall Foundation:Bearing Footing - 900 x 300:186656,PSet_Revit_Type_Identity Data,Assembly Description,str
0wkEuT1wr1kOyafLY4vyu$,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy_8,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy3H,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy3G,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy4m,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy4F,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy6l,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vy6k,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vyMO,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159159,PSet_Revit_Type_Identity Data,Assembly Code,str
0wkEuT1wr1kOyafLY4vyOn,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159262,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvGQ,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160671,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvH8,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160717,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUv88,IfcFurnishingElement,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUv3h,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:161646,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvup,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162230,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvuo,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:162231,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvs2,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162311,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvsm,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162357,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvtA,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162383,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqp,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162486,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqo,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162487,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqz,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162488,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqy,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162489,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvq$,IfcFurnishingElement,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvq_,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:162491,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqu,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162493,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqx,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:162494,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvqw,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162495,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvr5,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162496,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUvr4,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162497,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUshs,IfcFurnishingElement,M_Sofa:1830mm:1830mm:167283,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUsc7,IfcFurnishingElement,M_Sofa:1830mm:1830mm:167426,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUsab,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167584,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUsbY,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167655,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtVQ,IfcFurnishingElement,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168031,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtOy,IfcFurnishingElement,M_Sofa:1830mm:1830mm:168377,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtO$,IfcFurnishingElement,M_Sofa:1830mm:1830mm:168378,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtO_,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168379,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtOv,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168380,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtOu,IfcFurnishingElement,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168381,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtM4,IfcFurnishingElement,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:168449,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtI8,IfcFurnishingElement,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168717,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtHN,IfcFurnishingElement,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168914,PSet_Revit_Type_Identity Data,Assembly Code,str
2OBrcmyk58NupXoVOHUtEr,IfcFurnishingElement,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:169008,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4j7w,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191401,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4jOM,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191557,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4jQJ,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191680,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4jTB,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000mm:1000mm:191768,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4jJA,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192153,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4jKO,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192331,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4jMl,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192508,PSet_Revit_Type_Identity Data,Assembly Code,str
0iEHWY1$XA8eQeeULq4ien,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000mm:1000mm:192610,PSet_Revit_Type_Identity Data,Assembly Code,str
2gRXFgjRn2HPE$YoDLX0mp,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:204934,PSet_Revit_Type_Identity Data,Assembly Code,str
2gRXFgjRn2HPE$YoDLX0q2,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205239,PSet_Revit_Type_Identity Data,Assembly Code,str
2gRXFgjRn2HPE$YoDLX0rb,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205264,PSet_Revit_Type_Identity Data,Assembly Code,str
